iter	Passed	Remaining
1586	24780	6448
1587	24795	6432
1588	24809	6417
1589	24824	6401
1590	24839	6385
1591	24853	6369
1592	24867	6353
1593	24881	6337
1594	24897	6321
1595	24914	6306
1596	24929	6291
1597	24944	6275
1598	24960	6259
1599	24974	6243
1600	24990	6228
1601	25004	6212
1602	25018	6196
1603	25033	6180
1604	25047	6164
1605	25061	6148
1606	25076	6132
1607	25091	6116
1608	25106	6101
1609	25130	6087
1610	25159	6075
1611	25186	6062
1612	25207	6048
1613	25222	6032
1614	25236	6016
1615	25251	6000
1616	25265	5984
1617	25279	5968
1618	25294	5952
1619	25309	5936
1620	25327	5921
1621	25343	5906
1622	25358	5890
1623	25372	5874
1624	25386	5858
1625	25400	5842
1626	25416	5826
1627	25431	5811
1628	25446	5795
1629	25460	5779
1630	25475	5763
1631	25490	5747
1632	25505	5732
1633	25520	5716
1634	25537	5701
1635	25551	5685
1636	25566	5669
1637	25580	5653
1638	25595	5637
1639	25610	5621
1640	25626	5606
1641	25641	5590
1642	25655	5574
1643	25671	5559
1644	25686	5543
1645	25704	5528
1646	25719	5512
1647	25734	5496
1648	25749	5481
1649	25764	5465
1650	25779	5449
1651	25794	5433
1652	25809	5418
1653	25826	5402
1654	25843	5387
1655	25856	5371
1656	25871	5355
1657	25887	5339
1658	25901	5324
1659	25916	5308
1660	25930	5292
1661	25950	5277
1662	25972	5263
1663	25986	5247
1664	26001	5231
